,movies,full_situation
0,"['Mystery', 'Marley', 'John Wick', 'Star Wars', 'series', 'Action', 'action', 'Knives Out', 'mix']"," I couldn't even finish I am legend because of the dog dying. Anything with animal death makes me ball like a baby. Hello! I'm more of an action movie or a good romance and mystery movie. It looks like a good movie for people who like many different movies. It also has a great cast! I was surprised to see Chris Evans in the trailer! I would definitely avoid that movie if animal deaths make you said. Oh that is so cute though! Oh I'd definitely would cry at the dogs death. It is really sad! the dog was a last gift from his dying wife which makes it so much worse Well that is another great action movie. I also recommend the John Wick series John Wick is a former member of a gang, he was basically an assassin. He falls in love and quits the game, but then his wife dies, and someone comes in and kills his dog. He then goes on a revenge rampage against the people who broke into his house. I have yet to watch the 3rd one but the action scenes were really cool! Daniel Craig and Jamie Lee Curtis are also in the cast. Daniel Craig does a lot of 007 so definitely a good hearthrob role to convince the misses lol! Marley & Me had me crying for a good half hour so I completely understand that! Yeah, he had to calm me down for about an hour and bought me ice cream to apologize for it. I just saw the trailer for Knives Out when I went to see Joker and it looked like a good mix of action and mystery! Maybe with Chris Evans in it it'll be easier to convince my fiance to see it. Do you know who else is in the cast? I avoided that movie because someone told me he passed away. My fiance took me to see jurrasic world as our first date and I cried at the dinosuars dying. The new Star Wars comes out in less than a month, if you are into the franchise. I haven't seen any of that series. Could you tell me what the general plot is> I seen that one too as I seen Joker about a month ago. I thought about asking my fiance about going and seeing it. Hi There! What types of movies do you like to watch? I am the misses lol. But he loves the bond movies so that should be a good incentive for him to go see it. Do you have any other recommendations? He is, I think he told me we're getting it when it comes out to add to our movie collection."
1,"['Terminator: Dark Fate', 'Terminator', 'The Avengers']"," I'm good! Kind of lazy on this Sunday I love back to the Future Do you like futuristic sci-fi movies? Good how are you? I'd like to see it sometime. You would love Terminator! I highly recommend you check it out Terminator 2. It's one of my favorites. Do you like the Terminator films? Still Saturday here! What movies did you see lately? It's been a long time since I saw one. Refresh me on the plot It's about a robot assassin who travels back from the future to kill a woman because she is to bear the a son that will lead against the robot army Oh! haha. I just re-watched Avengers End Game. It was great! I also just re-watched Terminator 2 and I LOVE that movie Did they make a new Terminator? Hi! How's it going today It's Arnold Schwarzenegger! Wow, tell me more Yes there is a new Terminator movie. Have you seen the trailer for it? It looks very referential to the newest Mad Max. But also uniquely Terminator. Which one did you like best? Who is in it?"
2,['A Christmas Story 2']," I do! Do you have any recomendations? fantastic and yourself sure, but first what kind of movies do you like to watch? Generally comedies. I preffer some risque humor or some off the wall comical set off circumstances. im doing good. do you like to watch movies? hi how are you doing? Fantastic! What kind of comedy movies do you have to recommend? ok, i have some recommendations on comedies."
3,"['Ma', 'Get Out', 'Ready or Not', 'thriller', 'August']"," I love thrillers and movies that are very suspenseful I did! a while ago, when it first came out. I liked the acting and the movie itself. whats another movie that is similar to that? the movie Ma was soooo good, I seen it in theaters actually. I try to watch every thriller and suspense movie that comes out. Oh wow! You really love movies! What is the last movie that you watched? Hey! How are you? I do too! Have you ever seen the movie Get Out? Ma is a similar movie to Get Out. It came out this year, actually. I really enjoyed watching it. Have you seen Ma? I sure do! What kind of movies do you like to see? Good evening I am well thank you. looking for a movie recommendation. Do you have any? the last movie that I attempted to watch was IT Chapter 2 but it was very long so I didn't get to finish it"
4,"['The Grinch', 'Crown for Christmas']"," It was very good and family oriented. excellent choice enjoy it! Absolutely. I have some free time tonight. I'll be watching it with the kids. Thanks. She was Winnie in the Wonder Years. Great actress. Yes, there are kids in it. Yes. Lately, I've been enjoying Christmas movies, especially older classics. Have you seen anything good? Did you see Crown for Christmas? What else has she been in? I recognize the name. The Hallmark Channel has some good movies. Great! Do you accept my recommendation? Good thanks. Have you seen any good movies lately? Hello! I'm doing well. How about yourself? Danica McKellar is the star What is the general premise? No, but I wanted to. Is it good? Oh yes! I definitely want to see it now. I loved the Wonder Years. I just bought a subscription to the Hallmark movie app. They movies are very campy, but are feel good and fun. Hi, how are you? My kids love stuff about royalty! The main character acts as a governess to a rich royal family. Do you think kids would enjoy it? I will!"
5,"['Grown Ups', 'Night School', 'Good Morning, Night']"," Thank you for the suggestion! Kids that skip school and have a chaotic day. Yeah, Night School is my favorite and I totally recommend that you watch that! I haven't seen either. I've heard about Night School but I don't recall Good Boys. What is that about? Hi. What could you recommend? Yes I have seen and love both! Nice, have you seen Grown Ups, the original or number two? What type of movies are you into? Comedy, romance, thrillers? Hi, I am here to help you look for a movie trailer What's your favorite comedy? Have you watched the trailer before or seen anything about it? I think I saw a commercial for it on TV. It has Kevin Hart in it right? Since you like it so much, I'll have to check out Night School. Perfect, what is the latest comedy that you saw? Comedy is my favorite. Not a problem. Any other movie suggestions? The last comedy I saw was Christmas Vacation. How about Good Boys or Night School? Yes he's the main character. It makes the movie so much more funny"
6,"['Riddick', 'Paranormal Activity 3', 'action']"," i have seen paranormal activity. Enjoyed it. What is crawl about? not necessarily gory, but supernatural is good. do u like them gory? or not so much blood? big fan of all the pitch black movies with vin diesel Yes, I saw the first one. Would like to see the 2nd but do not know if it's still in theaters or streaming. hi. can you recommend a scary movie? it's a little old but you would definitely love paranormal activity if you are looking for something paranormal It takes place in florida, big hurricane hits houses near swamp and they become infested with man eating aligators hello crawl was awesome, but if you like supernatural recommend the last exorcism sounds interesting. do you know anything more recent? i have never heard of those. what are those about? how many of them are there? are those older movies or new? the last exorcism is that new? IT2 havent seen but they said it was great. did u see the first one?"
7,"['Dark Waters', 'Top Gun']"," I usually like gangster movies, action movies and dramas. Are you interested in the new top gun movie? hello. Do you have a movie recommendation? lets see...I liked die hard, the avengers, john wick, highlander. Those kinds of movies. I also liked goodfellas, casino, the godfather Hi what recommendations do you have? No not really. I thought the first one was ok but not really up my alley. Do you have a preference for movies? I was never into the mob type movies, but I do like some action movies. Do you like movies that are inspired by true stories? I think I can find some trailers that might be good for that type of genre. What action movies do you like? Yes. I find it fascinating that farfetched things can happen to people and be made into movies."
8,['Guardians of the Galaxy']," Oh, me too. So, what did you see last that you liked? Hi there. How are you? Let me see. Well, what kind of movies do you usually find yourself watching? What do you like? I tend to like action movies that also involve comedy. I really liked Avengers: Endgame because I liked the pacing and the effects were great. I'm doing well. I was wondering if you had any movie recommendations."
9,"['Gemini Man', 'drama', 'Enemy of the State', 'thriller', 'Hustlers', 'comedy']"," My wife is actually right here, she said she wanted to watch your movie actually, so her and I are both going to watch it haha I think he has come a long way in this one, it is definitely worth watching I like thrillers and comedy mostly, and things with a good cinematography, though i Gotta be in the mood for it What movie do you recommend? A lot of it is laugh out loud, but it is also a make you want to see what happens next kind of movie. What's that about? And who's in it? Jennifer Lopez, Julia Stiles and Constance Wu It's about a group of former strippers who work together to turn the tables on their wall street clients Ooph I like Will Smith a lot too, not always the best guy for serious roles though, is it better than his last few serious movies? I think you will both enjoy it! There is another movie I am thinking of that is more of a thriller, it is called Gemini man Ahhhh interesting, is it like a laugh-out-loud comedy, or like a quiet chuckle? I have some good recommendations but I was wondering what genre you like enjoy the most? No I haven't, what's it about? If it's like Enemy of the State or I Am Legend I'll probably give it a watch, if it's like Hancock or that one After Earth I'll probably pass Well, I could probably get into that, I liked Jennifer Lopez in Enough Yeah, I think this is one of her better movies. Hi! I hope I can find a movie you would really like to see. It stars Will Smith and it is about a hit man who is being targeted for hit by a younger version of himself! It is very exciting! Have you seen the movie Hustlers yet? It is a little bit of a mix of comedy, drama and thriller. Who stars in it?"
